title,year,tags,type_of_document,origin_of_document,caption,authors_of_document,collections,url
Bulletin Solidaires Finances Publiques / Foncier Innovant,2022,"[ ""Damien Robinet"" ]",article de blog,Syndicat Solidaires Finances Publiques,"Bulletin d'informations du syndicat FO de la DGFIP qui dénonce les enjeux du foncier innovant, tant sur le travail des agents que sur les répercussions sur la qualité du service public.",,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_224822-trs
"Pourquoi j'ai quitté le ""job le plus sexy du XXIe siècel""",2021,"[ ""Romain Boucher"" ]",article de blog,Médiapart (blog),Article de Vous n'êtes pas seuls qui expliquent la démarche de désertion et les fondements de l'association qui appelle à déserter et offre un soutien à tous les professionnels qui sont en dissonance cognitive dans leur travail.,Vous n'êtes pas seuls,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_223246-ag8
Jérémy Désir : lanceur d'alerte contre la finance internationale,2020,"[ ""Romain Boucher"" ]",article de presse,Le Média (site),Article et vidéo du média indépendant Le Média sur la démarche et la position de Jérémy Désir du collectif Vous n'êtes pas seuls qui a déserté son travail dans la finance.,Maxime Renahy,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_223517-wsq
Vous n'êtes pas seuls (association),2021,"[ ""Romain Boucher"" ]",association,,"Présentation de l'association Vous n'êtes pas seuls et manifeste qui appelle à déserter les bullshits jobs et autres professions en perte de sens et destructrices, créatrices d'injustices.",VNPS,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_222813-xte
Campagne d'affichage Technopolice,2022,"[ ""Félix Tréguer"" ]",campagne,Documentation personnelle,"Campagne Technopolice de la Quadrature du Net - L’espace public est surveillé par 1 million de caméras qui, de plus en plus, sont équipées de logiciels visant à détecter des comportements « indésirables ». La police utilise la reconnaissance faciale 1 600 fois par jour à partir des 8 millions de visages du fichier TAJ, et enregistre dans le fichier TES le visage de toute personne demandant un passeport ou une carte d’identité. Mandatez La Quadrature du Net pour attaquer devant la CNIL le ministère de l’intérieur et l’État français, qui combinent ces caméras, ce fichage et ces logiciels pour imposer une surveillance totale de nos rues.",Noortje Marres,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220611_115718-lw4
Consultation citoyenne sur l'intelligence artificielle par l'Union Européenne,2020,"[ ""Cécile Crichton"" ]",communiqué,Publications Office of the European Union (Archive),Trace de consultation citoyenne sur l'IA effectuée le 19 Février 2020 (white paper suivi d'un questionnaire en ligne). Obtenu sur Wayback Archive. Pas d'autre trace de cette consultation n'ont pu être retrouvée en ligne.,Commission Européenne,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220530_164528-go7
Ateliers citoyens du numérique en santé (Besançon),2019,"[ ""Hubert Guillaud"", ""Célia Zolynski"", ""Hugo Scurto"" ]",compte rendu,Agence du numérique en santé,Compte rendu d'un atelier citoyen à Besançon sur le numérique en santé. Cet atelier a été mené dans le cadre d'un dispositif gouvernemental pour accompagner le développement du numérique dans la santé avec une approche participative.,Think-Out,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_101107-gg6
Technopolice | Pads d'écriture,2022,"[ ""Félix Tréguer"" ]",interface,Site Web (Technopolice),,La Quadrature du Net,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230629_114943-0c8
Stephanie Dinkins | Not the only one,2018,"[ ""Hugo Scurto"" ]",œuvre,Personal website,"Not The Only One (N'TOO) is an ongoing experiment. It is an attempt to create a multigenerational memoir of a black American family told from the perspective of an artificial intelligence (AI) of evolving intellect. It is a voice-interactive AI entity designed, trained, and aligned with the concerns and ideals of people who are underrepresented in the tech sector. N'TOO reflects and is empowered to pursue the goals of its community through deep learning algorithms (chatbot), creating a new kind of conversant archive.",Stephanie Dinkins,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20230704_103811-ghw
Stop LAPD Coalition,2015,"[ ""Félix Tréguer"" ]",rapport,LAPD Coalition,"Association américaine de lutte contre la surveillance et le renforcement des systèmes automatisés de police. Ici, un rapport de 2015 s'alarmant de la décision d'équiper les policiers de caméras portés sur le corps.",,"[ ""0. Des modes de participation à l'IA"" ]",https://corpora.medialab.sciences-po.fr/shaping-ai/stories/fragment-20220612_231905-v81
